,gdp,cpi,unemp,rate_3m,rate_10y,const
gdp,0.477700894182865,21.559369992566705,255.6089982690374,184.06376542089853,-9.947408251220676,67.92125002023116
cpi,0.0027299699375342,0.1856580750877005,0.8370797756283833,0.2736661348253206,-0.2643210037159478,0.6497565214098486
unemp,-0.0003568218774177,-0.0157372548090113,-0.2454421119497943,-0.4864831311277789,-0.0934093352793869,0.0579623441267128
rate_3m,9.610907476351456e-05,-0.0177954987958903,-0.0018794052503154,0.5157930556725642,0.0669218980876783,-0.0022127851133796
rate_10y,0.0004192725740359,-0.0080071805360012,0.1052959983452251,0.0142023905290273,-0.0148555381789387,-0.0905163334278168
